layer,direction,UB_V,UB_A,UB_WC,r2_direct,ibc_V_direct,ibc_A_direct,ibc_WC_direct,r2_ortho,ibc_V_ortho,ibc_A_ortho,ibc_WC_ortho,r2_ridge,ibc_V_ridge,ibc_A_ridge,ibc_WC_ridge
14,Inst2Base,0.0746090462574267,0.28452186903108306,0.9228768081995815,-126.23207092285156,-0.02462090427011979,0.34029864684563943,0.7729179952337368,-0.2682704031467438,-0.014759626710025196,0.339157292577926,0.8740519380867647,0.4816876947879791,-0.04018524245955572,0.18799656593046601,0.9166620432860279
15,Base2Inst,-0.01828373915631993,-0.1959491664344724,0.9193006327556392,-162.82200622558594,-0.06390290258645494,0.10830376410985008,0.8176464305955956,-1.2652242183685303,0.10615235945857068,-0.13354781395646975,0.8730676641360648,0.4862276613712311,0.07844621977620257,-0.1412700667937838,0.9370854939343587
15,Inst2Base,0.039488770333201986,0.29997400080318,0.9212955738973078,-125.08424377441406,0.0254721963748825,0.25828160675484696,0.8181068293517992,-0.7427115440368652,0.03528257046632922,0.32410806927715796,0.8773413934464651,0.47148817777633667,-0.016110393827689022,0.1749573732942348,0.9137233886927855
16,Base2Inst,-0.01749281848624753,-0.22943335697864628,0.9128282205772795,-152.0205841064453,0.05762396421292664,-0.031080547157971133,0.6856431801425106,-0.30032965540885925,0.051251448698043836,-0.12336404637153796,0.8772344789236904,0.4926415681838989,0.02055702041103696,-0.1564103054445219,0.9284115025915155
16,Inst2Base,-0.0005362310375590767,0.25880930455254897,0.9174217274988676,-109.90019989013672,-0.03867774490032457,0.09798394744113623,0.8429629468200165,0.06052037701010704,-0.009055446134797375,0.24743488747239797,0.8863147284599637,0.4782663881778717,-0.02968594714787244,0.15601161773561065,0.9005138604823488
17,Base2Inst,-0.14146786917499496,-0.18502927638655184,0.9058243015817523,-117.83486938476562,-0.10297573795314009,-0.23996873854076214,0.5056411937071011,-0.95761638879776,-0.0693401656450454,-0.19609441419362675,0.84290867066305,0.48005667328834534,-0.0673737307105837,-0.14912817089182126,0.8938474305662644
17,Inst2Base,-0.0786569687177777,0.2038409032777212,0.8538343341307392,-89.10646057128906,-0.13248852506803221,0.12704407200000578,0.7495322919386523,-0.4844982624053955,-0.11681312905367217,0.2397444760042752,0.8805276078428975,0.4794817268848419,-0.1235086993668822,0.1722915983304783,0.8839520205667808
18,Base2Inst,-0.11995343470468545,-0.18908072664387007,0.8976201494089902,-110.09672546386719,-0.1335551835311283,-0.1865503826733807,0.5609085636166382,-1.8873417377471924,-0.05372684334643299,-0.2030807064387304,0.8754644776075899,0.42783233523368835,-0.08680110792351475,-0.18144017673948873,0.8855070748293115
18,Inst2Base,-0.04660317345431022,0.20057691560544658,0.8691535053327457,-81.93743133544922,-0.13119841102384971,0.12475113117173042,0.7683570568897041,-1.159524917602539,-0.10420046164726289,0.25257128042462723,0.8656053245262771,0.4693615734577179,-0.09956932805466207,0.19068628504300716,0.8816989366965289
19,Base2Inst,-0.11716812983524975,-0.16584444208688043,0.9006972460390129,-108.05485534667969,-0.026052604375222912,-0.19523554853945735,0.6789054422389165,-3.3276915550231934,0.004476180952325818,-0.2078887534745568,0.8710046917186793,0.43201932311058044,-0.07386698297587933,-0.17313613013015802,0.8804315452818149
19,Inst2Base,-0.005021141765886226,0.21472519948414925,0.8532823604400476,-76.83411407470703,-0.15930677356174078,0.1879243851789398,0.7517881491746554,-2.0918915271759033,-0.10072427687535337,0.2784739298187265,0.8716475100968826,0.45154857635498047,-0.054553552122281475,0.20734053686940415,0.8916865550103438
