pair_id,task,site_type,site_layer,impact
P_rage-d4-v2,Reader,ReaderSite,1,1.9392791237331757
P_rage-d4-v2,Self,ReaderSite,1,0.0832559501222736
P_rage-d4-v2,Reader,SelfSite,10,2.3169667731163193
P_rage-d4-v2,Self,SelfSite,10,1.5858281765185103
P_rage-d4-v4,Reader,ReaderSite,1,1.4331498709333603
P_rage-d4-v4,Self,ReaderSite,1,1.942463859512264
P_rage-d4-v4,Reader,SelfSite,10,2.192483075077707
P_rage-d4-v4,Self,SelfSite,10,1.39953362583028
P_rage-d5-v1,Reader,ReaderSite,1,0.14035394768181142
P_rage-d5-v1,Self,ReaderSite,1,0.11512114280173602
P_rage-d5-v1,Reader,SelfSite,10,1.8327047661587392
P_rage-d5-v1,Self,SelfSite,10,1.4585667042239585
P_rage-d5-v3,Reader,ReaderSite,1,3.080211907546089
P_rage-d5-v3,Self,ReaderSite,1,1.5564581778372562
P_rage-d5-v3,Reader,SelfSite,10,2.3378701740765684
P_rage-d5-v3,Self,SelfSite,10,1.5293851453355858
P_rage-d6-v2,Reader,ReaderSite,1,0.6389508971469642
P_rage-d6-v2,Self,ReaderSite,1,0.2536829767006439
P_rage-d6-v2,Reader,SelfSite,10,1.0892964748196716
P_rage-d6-v2,Self,SelfSite,10,0.9147589385702286
P_grief-d4-v2,Reader,ReaderSite,1,0.9954138573727125
P_grief-d4-v2,Self,ReaderSite,1,3.061072969379633
P_grief-d4-v2,Reader,SelfSite,10,2.709702017263954
P_grief-d4-v2,Self,SelfSite,10,2.1864664752285683
P_grief-d4-v3,Reader,ReaderSite,1,1.458452301447732
P_grief-d4-v3,Self,ReaderSite,1,0.5503842857759178
P_grief-d4-v3,Reader,SelfSite,10,2.1210478617197617
P_grief-d4-v3,Self,SelfSite,10,1.8146151711743665
P_grief-d4-v4,Reader,ReaderSite,1,1.313466076196053
P_grief-d4-v4,Self,ReaderSite,1,2.178477691434157
P_grief-d4-v4,Reader,SelfSite,10,2.031469388976559
P_grief-d4-v4,Self,SelfSite,10,1.6399011102745753
P_grief-d5-v1,Reader,ReaderSite,1,0.8722833107095243
P_grief-d5-v1,Self,ReaderSite,1,2.047252340630723
P_grief-d5-v1,Reader,SelfSite,10,1.9066276092457364
P_grief-d5-v1,Self,SelfSite,10,1.7607804405673284
P_grief-d5-v2,Reader,ReaderSite,1,1.8585869396956616
P_grief-d5-v2,Self,ReaderSite,1,3.015159307991333
P_grief-d5-v2,Reader,SelfSite,10,2.5127752182154035
P_grief-d5-v2,Self,SelfSite,10,1.646308036990738
P_grief-d5-v3,Reader,ReaderSite,1,1.6482027485811743
P_grief-d5-v3,Self,ReaderSite,1,1.7967053016411594
P_grief-d5-v3,Reader,SelfSite,10,1.7806083280239484
P_grief-d5-v3,Self,SelfSite,10,1.193901515759383
P_grief-d6-v1,Reader,ReaderSite,1,2.4807963773840407
P_grief-d6-v1,Self,ReaderSite,1,1.1150566516060119
P_grief-d6-v1,Reader,SelfSite,10,2.1426731790466467
P_grief-d6-v1,Self,SelfSite,10,1.2871933222503285
P_grief-d6-v2,Reader,ReaderSite,1,3.197370770304299
P_grief-d6-v2,Self,ReaderSite,1,2.7750827595816983
P_grief-d6-v2,Reader,SelfSite,10,2.0308107487084635
P_grief-d6-v2,Self,SelfSite,10,1.4427178555002533
P_terror-d4-v1,Reader,ReaderSite,1,2.476258851412152
P_terror-d4-v1,Self,ReaderSite,1,1.6038172831896835
P_terror-d4-v1,Reader,SelfSite,10,2.1368346847925803
P_terror-d4-v1,Self,SelfSite,10,1.6794741693231776
P_terror-d4-v2,Reader,ReaderSite,1,2.076525444450543
P_terror-d4-v2,Self,ReaderSite,1,0.690787525790769
P_terror-d4-v2,Reader,SelfSite,10,1.6584816602404708
P_terror-d4-v2,Self,SelfSite,10,1.4037512808699546
P_terror-d4-v3,Reader,ReaderSite,1,2.4737916975946637
P_terror-d4-v3,Self,ReaderSite,1,1.6437840288757064
P_terror-d4-v3,Reader,SelfSite,10,2.257560074539806
P_terror-d4-v3,Self,SelfSite,10,1.781681642492463
P_terror-d5-v1,Reader,ReaderSite,1,0.5916057167280684
P_terror-d5-v1,Self,ReaderSite,1,0.21173511974894677
P_terror-d5-v1,Reader,SelfSite,10,1.9992856904681569
P_terror-d5-v1,Self,SelfSite,10,1.472623887898537
P_terror-d5-v2,Reader,ReaderSite,1,0.17616692052444982
P_terror-d5-v2,Self,ReaderSite,1,1.286772802044446
P_terror-d5-v2,Reader,SelfSite,10,1.6299190097463567
P_terror-d5-v2,Self,SelfSite,10,0.969204185663469
P_terror-d6-v2,Reader,ReaderSite,1,2.5498941175376815
P_terror-d6-v2,Self,ReaderSite,1,1.8309687258775562
P_terror-d6-v2,Reader,SelfSite,10,1.6822219307532063
P_terror-d6-v2,Self,SelfSite,10,1.0975279520195649
P_ecstasy-d4-v1,Reader,ReaderSite,1,0.6776759221329272
P_ecstasy-d4-v1,Self,ReaderSite,1,0.19829969284588245
P_ecstasy-d4-v1,Reader,SelfSite,10,0.8835398809327417
P_ecstasy-d4-v1,Self,SelfSite,10,0.8526695565043214
P_ecstasy-d4-v3,Reader,ReaderSite,1,0.8339485945980281
P_ecstasy-d4-v3,Self,ReaderSite,1,0.16633806890763037
P_ecstasy-d4-v3,Reader,SelfSite,10,1.3162235993743612
P_ecstasy-d4-v3,Self,SelfSite,10,0.8939149324020805
P_ecstasy-d5-v1,Reader,ReaderSite,1,1.547299210515071
P_ecstasy-d5-v1,Self,ReaderSite,1,2.2694218780136852
P_ecstasy-d5-v1,Reader,SelfSite,10,2.320997598483662
P_ecstasy-d5-v1,Self,SelfSite,10,1.6583851776092429
P_ecstasy-d5-v2,Reader,ReaderSite,1,3.3588638390926393
P_ecstasy-d5-v2,Self,ReaderSite,1,2.396390558130543
P_ecstasy-d5-v2,Reader,SelfSite,10,1.9808885125316293
P_ecstasy-d5-v2,Self,SelfSite,10,1.5422952273588901
P_ecstasy-d5-v4,Reader,ReaderSite,1,2.1553273476138055
P_ecstasy-d5-v4,Self,ReaderSite,1,1.8508804776045293
P_ecstasy-d5-v4,Reader,SelfSite,10,2.4578269605456318
P_ecstasy-d5-v4,Self,SelfSite,10,1.6065931431866165
P_ecstasy-d6-v1,Reader,ReaderSite,1,3.120691980548388
P_ecstasy-d6-v1,Self,ReaderSite,1,2.085797164416641
P_ecstasy-d6-v1,Reader,SelfSite,10,1.8706594360051692
P_ecstasy-d6-v1,Self,SelfSite,10,1.3774292999163418
P_ecstasy-d6-v2,Reader,ReaderSite,1,2.4953176636260648
P_ecstasy-d6-v2,Self,ReaderSite,1,2.5458220767626836
P_ecstasy-d6-v2,Reader,SelfSite,10,2.6158865989058175
P_ecstasy-d6-v2,Self,SelfSite,10,1.8432578065544432
P_ecstasy-d6-v3,Reader,ReaderSite,1,0.8357292975936588
P_ecstasy-d6-v3,Self,ReaderSite,1,2.026815993184054
P_ecstasy-d6-v3,Reader,SelfSite,10,2.0518597918365815
P_ecstasy-d6-v3,Self,SelfSite,10,1.5195155134016218
P_loathing-d4-v1,Reader,ReaderSite,1,1.9177185477547312
P_loathing-d4-v1,Self,ReaderSite,1,1.2706029752146866
P_loathing-d4-v1,Reader,SelfSite,10,2.0584259838699737
P_loathing-d4-v1,Self,SelfSite,10,1.5112880322120468
P_loathing-d5-v2,Reader,ReaderSite,1,1.1714174275419609
P_loathing-d5-v2,Self,ReaderSite,1,2.0047900679799926
P_loathing-d5-v2,Reader,SelfSite,10,2.6789604572184103
P_loathing-d5-v2,Self,SelfSite,10,1.9138888457916625
P_loathing-d6-v2,Reader,ReaderSite,1,0.3418985384512565
P_loathing-d6-v2,Self,ReaderSite,1,0.8878387236920915
P_loathing-d6-v2,Reader,SelfSite,10,1.1148490871489969
P_loathing-d6-v2,Self,SelfSite,10,1.1036265820497526
P_loathing-d6-v4,Reader,ReaderSite,1,2.1923921772031534
P_loathing-d6-v4,Self,ReaderSite,1,2.526678725841201
P_loathing-d6-v4,Reader,SelfSite,10,1.4629446228745442
P_loathing-d6-v4,Self,SelfSite,10,1.2431993305804525
P_amazement-d4-v1,Reader,ReaderSite,1,2.3625503773451673
P_amazement-d4-v1,Self,ReaderSite,1,1.1237469054512297
P_amazement-d4-v1,Reader,SelfSite,10,3.2184853438426524
P_amazement-d4-v1,Self,SelfSite,10,2.161472434159995
P_amazement-d4-v2,Reader,ReaderSite,1,2.6872761758071775
P_amazement-d4-v2,Self,ReaderSite,1,2.076059019680267
P_amazement-d4-v2,Reader,SelfSite,10,2.017389315860341
P_amazement-d4-v2,Self,SelfSite,10,1.5930323610775208
P_amazement-d5-v2,Reader,ReaderSite,1,1.560142793954772
P_amazement-d5-v2,Self,ReaderSite,1,0.4685367327162364
P_amazement-d5-v2,Reader,SelfSite,10,2.2955196045381294
P_amazement-d5-v2,Self,SelfSite,10,1.8116850069074317
P_amazement-d5-v4,Reader,ReaderSite,1,1.0483076267708267
P_amazement-d5-v4,Self,ReaderSite,1,1.971825201087082
P_amazement-d5-v4,Reader,SelfSite,10,2.4159661610824275
P_amazement-d5-v4,Self,SelfSite,10,2.086971394123375
P_amazement-d6-v1,Reader,ReaderSite,1,1.5247024289613655
P_amazement-d6-v1,Self,ReaderSite,1,0.4016644200417181
