family,alignment,condition,task,axis,relative_depth,c_net_rand
olmo,instruct,inst_matched_plain_self,self,valence,0.0,-9.23824206315258e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.06666666666666667,0.00014568122555697638
olmo,instruct,inst_matched_plain_self,self,valence,0.13333333333333333,0.0001518653151479823
olmo,instruct,inst_matched_plain_self,self,valence,0.2,-0.00011674685390294925
olmo,instruct,inst_matched_plain_self,self,valence,0.26666666666666666,0.00010133122615310075
olmo,instruct,inst_matched_plain_self,self,valence,0.3333333333333333,-6.857014532864003e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.4,-1.2386105926533552e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.4666666666666667,-3.3006652929636006e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.5333333333333333,-0.0001306546924169929
olmo,instruct,inst_matched_plain_self,self,valence,0.6,2.1611745274848105e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.6666666666666666,-8.226261188620221e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.7333333333333333,-3.0158413352809888e-05
olmo,instruct,inst_matched_plain_self,self,valence,0.8,-4.0841355486964657e-07
olmo,instruct,inst_matched_plain_self,self,valence,0.8666666666666667,-1.358465174725154e-06
olmo,instruct,inst_matched_plain_self,self,valence,0.9333333333333333,0.00011152503404576564
olmo,instruct,inst_matched_plain_self,self,valence,1.0,1.865174681370263e-17
olmo,instruct,inst_matched_plain_self,self,arousal,0.0,1.5012423242793282e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.06666666666666667,9.834548143533794e-06
olmo,instruct,inst_matched_plain_self,self,arousal,0.13333333333333333,1.9627492747455123e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.2,1.2358287257814738e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.26666666666666666,-3.2373600224477884e-06
olmo,instruct,inst_matched_plain_self,self,arousal,0.3333333333333333,7.577050367309557e-05
