model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
llama_base,llama,base,arousal,0.9333333333333332,0.0,0.8644159173130459,0.0013566748903716
llama_base,llama,base,valence,1.0,0.0,0.882659324776505,0.0066295824157227
llama_base,llama,base,arousal,1.0,0.0,0.882659324776505,0.004151558118145
llama_instruct,llama,instruct,valence,0.0,0.0,0.9803071659413528,0.0034496551808226
llama_instruct,llama,instruct,arousal,0.0,0.0,0.9803071659413528,0.0097815192806183
llama_instruct,llama,instruct,valence,0.0666666666666666,0.0,0.9756364289406598,0.0012113682008617
llama_instruct,llama,instruct,arousal,0.0666666666666666,0.0,0.9756364289406598,0.0207150197690451
llama_instruct,llama,instruct,valence,0.1333333333333333,0.0,0.9741985447379492,0.3911560478903162
llama_instruct,llama,instruct,arousal,0.1333333333333333,0.0,0.9741985447379492,0.0163438122171351
llama_instruct,llama,instruct,valence,0.2,0.0,0.9669687024433392,0.0996732244965737
llama_instruct,llama,instruct,arousal,0.2,0.0,0.9669687024433392,0.0194959420551552
llama_instruct,llama,instruct,valence,0.2666666666666666,0.0,0.954714860285069,0.0833552797652212
llama_instruct,llama,instruct,arousal,0.2666666666666666,0.0,0.954714860285069,0.1157590776850083
llama_instruct,llama,instruct,valence,0.3333333333333333,0.0,0.936446258964169,0.1410736881961144
llama_instruct,llama,instruct,arousal,0.3333333333333333,0.0,0.936446258964169,0.0745563985699009
llama_instruct,llama,instruct,valence,0.4,0.0,0.9355125165704627,0.1140204069069523
llama_instruct,llama,instruct,arousal,0.4,0.0,0.9355125165704627,0.1498773244273311
llama_instruct,llama,instruct,valence,0.4666666666666667,0.0,0.9108635519027096,0.1039544997611335
llama_instruct,llama,instruct,arousal,0.4666666666666667,0.0,0.9108635519027096,0.273469264096611
llama_instruct,llama,instruct,valence,0.5333333333333333,0.0,0.908752174652553,0.1463491805361353
llama_instruct,llama,instruct,arousal,0.5333333333333333,0.0,0.908752174652553,0.1480246249661913
llama_instruct,llama,instruct,valence,0.6,0.0,0.8949439482827742,0.2821884548006578
llama_instruct,llama,instruct,arousal,0.6,0.0,0.8949439482827742,0.1823949835551493
llama_instruct,llama,instruct,valence,0.6666666666666666,0.0,0.843323362058906,0.13376716558276
llama_instruct,llama,instruct,arousal,0.6666666666666666,0.0,0.843323362058906,0.3036115268347478
llama_instruct,llama,instruct,valence,0.7333333333333333,0.0,0.8311758089514875,0.2792933996026979
llama_instruct,llama,instruct,arousal,0.7333333333333333,0.0,0.8311758089514875,0.6494502104993117
llama_instruct,llama,instruct,valence,0.8,0.0,0.8249943739649316,0.3452562650550006
llama_instruct,llama,instruct,arousal,0.8,0.0,0.8249943739649316,1.1516196680467576
llama_instruct,llama,instruct,valence,0.8666666666666667,0.0,0.8213921658096461,1.0105971326065952
llama_instruct,llama,instruct,arousal,0.8666666666666667,0.0,0.8213921658096461,1.272266288604921
llama_instruct,llama,instruct,valence,0.9333333333333332,0.0,0.8218912407940678,0.5252311914800816
llama_instruct,llama,instruct,arousal,0.9333333333333332,0.0,0.8218912407940678,1.5332836088417985
llama_instruct,llama,instruct,valence,1.0,0.0,0.8021306292557462,1.1282292237268297
llama_instruct,llama,instruct,arousal,1.0,0.0,0.8021306292557462,1.3682190247769417
olmo_base,olmo,base,valence,0.0,0.0,0.9884893950267026,0.0274999901936281
olmo_base,olmo,base,arousal,0.0,0.0,0.9884893950267026,0.0037725306788123
