model,family,alignment,axis,layer,relative_depth,r2_reader,r2_self
qwen_instruct,qwen,instruct,arousal,6,0.2222222222222222,-0.0099681368853474,0.0104840500179145
qwen_instruct,qwen,instruct,arousal,7,0.2592592592592592,0.0087950135383314,0.023566261415808
qwen_instruct,qwen,instruct,arousal,8,0.2962962962962963,0.0214586895001157,0.0316878590078711
qwen_instruct,qwen,instruct,arousal,9,0.3333333333333333,0.0284987286987796,0.02472264863363
qwen_instruct,qwen,instruct,arousal,10,0.3703703703703703,0.0663141958056217,0.048424545512628
qwen_instruct,qwen,instruct,arousal,11,0.4074074074074074,0.0553635914560951,0.0553864100753335
qwen_instruct,qwen,instruct,arousal,12,0.4444444444444444,0.0603747933905813,0.0534236630173006
qwen_instruct,qwen,instruct,arousal,13,0.4814814814814814,0.0622016442362184,0.0656852950035492
qwen_instruct,qwen,instruct,arousal,14,0.5185185185185185,0.0529811700116751,0.0517040383117596
qwen_instruct,qwen,instruct,arousal,15,0.5555555555555556,0.0527343486890906,0.0515499777393371
qwen_instruct,qwen,instruct,arousal,16,0.5925925925925926,0.0673479457137324,0.0683666342977344
qwen_instruct,qwen,instruct,arousal,17,0.6296296296296297,0.0734394003030085,0.0689367650750307
qwen_instruct,qwen,instruct,arousal,18,0.6666666666666666,0.0607611078873737,0.0623394688820413
qwen_instruct,qwen,instruct,arousal,19,0.7037037037037037,0.0673968564618454,0.0694012705989602
qwen_instruct,qwen,instruct,arousal,20,0.7407407407407407,0.0600316327458967,0.074560971323116
qwen_instruct,qwen,instruct,arousal,21,0.7777777777777778,0.0534816128988235,0.0621029201514733
qwen_instruct,qwen,instruct,arousal,22,0.8148148148148148,0.0615286616631101,0.0654775271831963
qwen_instruct,qwen,instruct,arousal,23,0.8518518518518519,0.0539484648991984,0.051541905779781
qwen_instruct,qwen,instruct,arousal,24,0.8888888888888888,0.0649687875714105,0.0598536800815397
qwen_instruct,qwen,instruct,arousal,25,0.925925925925926,0.0627473811340505,0.0528596014483031
qwen_instruct,qwen,instruct,arousal,26,0.9629629629629628,0.0603841400646848,0.0515822946860179
qwen_instruct,qwen,instruct,arousal,27,1.0,0.0673648970693594,0.0540524646136608
