stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq1_emobank_correspondence,llama,instruct,self,valence,emobank_human_grounding,spearman_rho,0.0632331067302142,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,self,valence,emobank_human_grounding,mae,2.0740463156050555,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,self,arousal,emobank_human_grounding,pearson_r,0.2087326550748583,,,,2.628516034215397e-11,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,self,arousal,emobank_human_grounding,spearman_rho,0.1710920875954787,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,self,arousal,emobank_human_grounding,mae,1.8617647413334983,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,self,dominance,emobank_human_grounding,pearson_r,0.2542863893513082,,,,3.1936970040214083e-16,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,self,dominance,emobank_human_grounding,spearman_rho,0.2296362776964911,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,self,dominance,emobank_human_grounding,mae,1.884469293787853,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,olmo,base,writer,valence,emobank_human_grounding,pearson_r,0.022706470879935,,,,0.4732284539764726,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,base,writer,valence,emobank_human_grounding,spearman_rho,0.0169999835310727,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,base,writer,valence,emobank_human_grounding,mae,1.9789060427429963,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,olmo,base,writer,arousal,emobank_human_grounding,pearson_r,-0.0252460149424415,,,,0.4251736580652522,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,base,writer,arousal,emobank_human_grounding,spearman_rho,-0.0581831047821011,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,base,writer,arousal,emobank_human_grounding,mae,1.926148918977752,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,olmo,base,writer,dominance,emobank_human_grounding,pearson_r,-0.0115923612814528,,,,0.7142632515951889,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,base,writer,dominance,emobank_human_grounding,spearman_rho,-0.0160462840471468,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,base,writer,dominance,emobank_human_grounding,mae,1.8838617986299544,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,olmo,base,reader,valence,emobank_human_grounding,pearson_r,0.0152437187821361,,,,0.6301798103428862,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,base,reader,valence,emobank_human_grounding,spearman_rho,0.008161404150365,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,base,reader,valence,emobank_human_grounding,mae,1.9634416114813047,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,olmo,base,reader,arousal,emobank_human_grounding,pearson_r,-0.0132075405345542,,,,0.6765650933730191,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
