id,component,orig_Ev,patched_Ev,rand_Ev,wd_inst_base,wd_patch_base,wd_rand_base,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
N-vigilance-d3-c2,res_10,7.20703125,7.203125,7.19921875,1.7236717436969085,1.7319540937769542,1.7350010682299946,-0.00390625,-0.0078125,0.008282350080045742,0.011329324533086105,0.0109710693359375,0.0107574462890625,0.01064300537109375
B-grief-d1-v1,res_15,7.3828125,7.41015625,7.4140625,2.1129619657532714,2.132977199882785,2.1432485803810377,0.02734375,0.03125,0.02001523412951345,0.030286614627766273,0.0145416259765625,0.01322174072265625,0.01288604736328125
B-grief-d2-v1,res_15,4.10546875,4.2421875,4.3125,0.7477898290330849,0.6665071346867679,0.6147916755090157,0.13671875,0.20703125,-0.08128269434631696,-0.13299815352406918,0.08367919921875,0.08740234375,0.0880126953125
B-grief-d3-v1,res_15,6.78125,6.81640625,6.8125,1.3312548552416656,1.3643232224870447,1.3586271348853558,0.03515625,0.03125,0.03306836724537909,0.027372279643690156,0.032928466796875,0.03033447265625,0.0310821533203125
B-terror-d2-v1,res_15,5.02734375,5.1640625,5.21484375,0.604821105866622,0.6560518559128126,0.6954858190242907,0.13671875,0.1875,0.0512307500461906,0.09066471315766877,0.09246826171875,0.0914306640625,0.0936279296875
B-ecstasy-d2-v1,res_15,5.73828125,5.84375,5.87109375,0.6851637670129731,0.7061166590674,0.7083452941868452,0.10546875,0.1328125,0.020952892054426853,0.02318152717387212,0.10150146484375,0.099853515625,0.09698486328125
B-loathing-d3-v1,res_15,2.615234375,2.69140625,2.6796875,1.8805413641405555,1.8037484677661908,1.8155344251898309,0.076171875,0.064453125,-0.0767928963743647,-0.06500693895072462,0.033782958984375,0.0379638671875,0.035125732421875
B-amazement-d1-v2,res_15,6.0546875,6.15234375,6.109375,1.304417807759631,1.387381613162209,1.3548151118384653,0.09765625,0.0546875,0.08296380540257808,0.05039730407883436,0.07159423828125,0.0677490234375,0.07122802734375
B-amazement-d3-v1,res_15,7.69921875,7.71484375,7.70703125,2.0759541910517685,2.0809816650423363,2.0738174245528223,0.015625,0.0078125,0.005027473990567799,-0.00213676649894623,0.00829315185546875,0.007709503173828125,0.0084686279296875
B-vigilance-d1-v1,res_15,4.35546875,4.453125,4.44921875,0.7521598953635,0.6900457044808528,0.7033069960380325,0.09765625,0.09375,-0.06211419088264725,-0.04885289932546755,0.12225341796875,0.1236572265625,0.1275634765625
