r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,r2_cross_r_to_s_task_scaled,r2_cross_s_to_r_task_scaled,direct_transfer_score,direct_transfer_score_raw,direct_transfer_score_clipped,r2_pca_direct,r2_aligned_transfer,alignment_gain,rsa_correlation,geometry_pattern,is_held_out,layer,relative_depth,target
-1.0589264982556132,-1.0753799515452434,-3.0248595641527674,-3.8365112323040753,-2.634683191957164,-1.9761972595810993,-3.4306853982284213,-3.4306853982284213,0.0,0.13560277111720587,0.14778852118737207,0.012185750070166201,0.9024241121857719,Operational: Task-Divergent Geometry,True,13,0.52,Valence_human
-2.5515193576280395,-2.3255521496578178,-5.708025346019148,-4.104733988834318,-4.112133021875356,-3.414778735273239,-4.906379667426733,-4.906379667426733,0.0,-0.036347072043034556,-0.008049547771876053,0.028297524271158503,0.9024241121857719,Operational: Task-Divergent Geometry,True,13,0.52,Arousal_human
-1.0671364586615737,-1.2241752291422232,-2.1822670362067704,-4.279591966366118,-2.1145977440414567,-1.8417844017297607,-3.230929501286444,-3.230929501286444,0.0,0.27836165215196684,0.3022829781748866,0.023921326022919742,0.8957941329039525,Operational: Alignable Geometry,True,14,0.56,Valence_human
-2.7122106356766666,-2.888146329025431,-4.7736594209837575,-4.975164994782572,-4.09058962025031,-3.59473267521665,-4.874412207883164,-4.874412207883164,0.0,0.009313255852779312,0.03208106740232464,0.022767811549545325,0.8957941329039525,Operational: Task-Divergent Geometry,True,14,0.56,Arousal_human
-0.9658041034203764,-1.0028588438644568,-2.194205997654848,-2.44726331701417,-1.9385823280312233,-1.7020577096088059,-2.320734657334509,-2.320734657334509,0.0,0.26766856662422533,0.29098277825814534,0.02331421163392,0.9005548783245864,Operational: Task-Divergent Geometry,True,15,0.6,Valence_human
-2.26997256566502,-2.3134376490839093,-7.382438293801972,-4.086393181775525,-3.632811706655599,-3.2603679568185786,-5.734415737788748,-5.734415737788748,0.0,-0.023996284934086676,0.01366855721915905,0.037664842153245726,0.9005548783245864,Operational: Task-Divergent Geometry,True,15,0.6,Arousal_human
-0.9039071018654217,-1.0210513081437114,-2.5804440074801698,-3.289476298778032,-1.786929096578067,-1.8477048037343944,-2.9349601531291007,-2.9349601531291007,0.0,0.3023636800093724,0.31328683006184865,0.010923150052476238,0.9087722825399851,Operational: Alignable Geometry,True,16,0.64,Valence_human
-2.365482067212212,-2.2575660035736145,-4.042497681762485,-4.663882058120308,-4.128658698529303,-3.5220063814226474,-4.353189869941396,-4.353189869941396,0.0,-0.01603083055276966,0.0028204765612099836,0.018851307113979643,0.9087722825399851,Operational: Task-Divergent Geometry,True,16,0.64,Arousal_human
-2.409712207656483,-2.274876490671596,-3.140056329720525,-3.3411157175475292,-2.941446435133318,-2.5260607639466173,-3.240586023634027,-3.240586023634027,0.0,0.1463940320306416,0.1536347164275893,0.007240684396947694,0.8255623250070186,Operational: Task-Divergent Geometry,True,17,0.68,Valence_human
-2.891068568349092,-4.0172651388690435,-5.349132110292993,-4.80152058995362,-4.181621212325602,-4.298309974253844,-5.075326350123307,-5.075326350123307,0.0,-0.010927477834903332,-0.005341580528804402,0.00558589730609893,0.8255623250070186,Operational: Task-Divergent Geometry,True,17,0.68,Arousal_human
-2.1541305025145436,-1.870170694401272,-2.934743873570936,-2.340838615442445,-2.4168763879564943,-2.3756213075742316,-2.6377912445066904,-2.6377912445066904,0.0,0.17836128676624197,0.18846490059042287,0.010103613824180901,0.8724194816979376,Operational: Task-Divergent Geometry,True,18,0.72,Valence_human
-3.6900359092656405,-4.001276058643997,-5.101006556944063,-4.488341878075462,-4.350296313777066,-4.255758791499126,-4.794674217509763,-4.794674217509763,0.0,0.010937179240766315,0.016823192503688467,0.005886013262922152,0.8724194816979376,Operational: Task-Divergent Geometry,True,18,0.72,Arousal_human
-1.9638425244172097,-2.026859685261276,-2.6215182298745274,-2.5139424573273406,-2.2630511896469083,-2.5079879082897154,-2.567730343600934,-2.567730343600934,0.0,0.20645634449971295,0.20900090021184392,0.002544555712130969,0.8832200906279974,Operational: Task-Divergent Geometry,True,19,0.76,Valence_human
-3.56270779151948,-3.7907032743894167,-5.283863015828973,-5.8918471702819835,-4.553008641023949,-4.0983335572300446,-5.587855093055478,-5.587855093055478,0.0,0.010292474798656914,0.012682383040032108,0.0023899082413751938,0.8832200906279974,Operational: Task-Divergent Geometry,True,19,0.76,Arousal_human
