stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq2_sensitivity,llama,base,self,arousal,clinical_minus_neutral_matched,mean_aligned_delta,0.0018829053807402,,0.0008450086332315,0.0029563731750205,0.0009861205873097,0.0020626040522106,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,instruct,reader,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.0005263977616673,,-0.0039619446750334,0.0057509224367071,0.826949810108157,0.8820797974487008,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,instruct,self,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.0065013542218523,,0.0028338907825971,0.0103312082373675,0.0010313020261053,0.0020626040522106,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,instruct,reader,arousal,clinical_minus_neutral_matched,mean_aligned_delta,0.0710839872499279,,0.061322344900993,0.0809016618239152,1.6535202494346422e-29,5.291264798190855e-28,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,instruct,self,arousal,clinical_minus_neutral_matched,mean_aligned_delta,0.0185043590432173,,0.0124485989903317,0.0244117845388121,2.9967270070075174e-08,1.198690802803007e-07,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,olmo,base,reader,valence,clinical_minus_neutral_matched,mean_aligned_delta,-0.0061784428743594,,-0.0117668556427696,-0.0002153973198067,0.038687937716094,0.0619007003457504,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,olmo,base,self,valence,clinical_minus_neutral_matched,mean_aligned_delta,-0.0025323541762113,,-0.0049133223062387,-0.0002193503613263,0.0513708459738306,0.0782793843410752,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,olmo,base,reader,arousal,clinical_minus_neutral_matched,mean_aligned_delta,-0.0033309010873154,,-0.0057345989234702,-0.0007097352000578,0.009084233553649,0.0161497485398205,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,olmo,base,self,arousal,clinical_minus_neutral_matched,mean_aligned_delta,-0.0007729423110855,,-0.0022021230745582,0.0007353022370789,0.3236847484138135,0.4121091511324228,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,olmo,instruct,reader,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.007523176923906,,0.0041050500121513,0.0108453181227335,1.694669364514427e-05,4.929947242223788e-05,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
