model,family,alignment,task,axis,n_pairs,mean_aligned_delta,ci_low,ci_high,cohen_dz,t,p,q,mean_raw_delta
olmo_base,olmo,base,reader,valence,192,-0.0061784428743594,-0.0117668556427696,-0.0002153973198067,-0.1502453671861197,-2.0818608765456093,0.038687937716094,0.0619007003457504,-0.0211620399325449
olmo_base,olmo,base,self,valence,192,-0.0025323541762113,-0.0049133223062387,-0.0002193503613263,-0.1414995989368623,-1.9606759568741168,0.0513708459738306,0.0782793843410752,-0.0065059564201137
olmo_base,olmo,base,writer,arousal,192,-0.0022534029322074,-0.0045283336117534,-8.6108869145892e-05,-0.1408740527968435,-1.952008135298188,0.0523991278382297,,-0.0035559925820145
olmo_base,olmo,base,reader,arousal,192,-0.0033309010873154,-0.0057345989234702,-0.0007097352000578,-0.1902211623594514,-2.635781743051027,0.009084233553649,0.0161497485398205,-0.0045914709043453
olmo_base,olmo,base,self,arousal,192,-0.0007729423110855,-0.0022021230745582,0.0007353022370789,-0.0714088929677284,-0.9894706458588288,0.3236847484138135,0.4121091511324228,-0.0011211882321782
olmo_base,olmo,base,writer,dominance,192,-0.0003621634949702,-0.0016299567751826,0.000894316756762,-0.0397274516448772,-0.5504797176333057,0.5826336193524276,,-0.0002400432596686
olmo_base,olmo,base,reader,dominance,192,-0.000804345431378,-0.0021213916643267,0.0005770784639644,-0.0797098680414885,-1.1044923304997514,0.2707690807666408,,-3.071604721211393e-05
olmo_base,olmo,base,self,dominance,192,-0.0007283263532678,-0.0018795705463603,0.0003793792161085,-0.0929936047771823,-1.2885571860244782,0.1991107150280527,,-0.0012708291099036
olmo_instruct,olmo,instruct,writer,valence,192,0.0102928339459519,0.0067065563176705,0.0139519125307234,0.3870393475513273,5.362974515897663,2.3490270260473626e-07,,0.0020545344946535
olmo_instruct,olmo,instruct,reader,valence,192,0.007523176923906,0.0041050500121513,0.0108453181227335,0.3185580133989908,4.414069314922075,1.694669364514427e-05,4.929947242223788e-05,-6.810624141304993e-05
olmo_instruct,olmo,instruct,self,valence,192,0.0089901365882185,0.0054501206612645,0.0126085373289939,0.3568302833379419,4.9443854433641095,1.6672537856597754e-06,5.335212114111281e-06,-0.0029639526765149
olmo_instruct,olmo,instruct,writer,arousal,192,-0.0226450362130739,-0.0336089572973742,-0.0119439440659628,-0.294462215801179,-4.080188149415625,6.60577658070316e-05,,-0.0344129537472348
olmo_instruct,olmo,instruct,reader,arousal,192,-0.0072024564416058,-0.0171363236436292,0.0025004843380689,-0.1043803672777878,-1.4463367955026272,0.1497217666033449,0.2083085448394364,-0.0164875460238598
olmo_instruct,olmo,instruct,self,arousal,192,-0.0170009632688159,-0.0267933734956168,-0.0073093401863722,-0.2418947749139367,-3.351792321891007,0.0009678330102986,0.0020626040522106,-0.0276275741245515
olmo_instruct,olmo,instruct,writer,dominance,192,0.0035776277547575,-0.0055156266287009,0.0132288559935508,0.0522712459065562,0.7242916294806567,0.4697729662593314,,0.0022120310391061
olmo_instruct,olmo,instruct,reader,dominance,192,0.0059355967742993,-0.0030310405671638,0.0148046536145864,0.0880510705650294,1.2200714230357077,0.2239420873993861,,0.0035568078305993
olmo_instruct,olmo,instruct,self,dominance,192,0.00241318317651,-0.0054962533372376,0.0101190358200819,0.041109022855695,0.569623329884593,0.5696025330874727,,0.0010681898573617
qwen_base,qwen,base,writer,valence,192,0.0065778509750822,0.0043103386363104,0.0088880365229125,0.3928028116459904,5.442835417014107,1.596429474147356e-07,,-0.0044186345881842
qwen_base,qwen,base,reader,valence,192,0.0046481836812667,0.0024155011252069,0.0071098810634376,0.2710749897732289,3.756125239587572,0.0002290533466763,0.0006108089244703,-0.0053682672670117
qwen_base,qwen,base,self,valence,192,0.0058189989037787,0.0040356369808181,0.0076021060037674,0.4463949344473837,6.185429653633977,3.685314266378446e-09,1.6847150932015753e-08,0.0003699627450033
qwen_base,qwen,base,writer,arousal,192,0.0105853920164429,0.007620139903234,0.0133874167066394,0.4913539045914735,6.808399417998262,1.244354026126547e-10,,0.0095078734038856
qwen_base,qwen,base,reader,arousal,192,0.0149576245902079,0.0116722437024071,0.0180175768932791,0.6494801683316908,8.999461200471002,2.2782157474824523e-16,1.822572597985961e-15,0.0151926605166758
qwen_base,qwen,base,self,arousal,192,0.0052250581943499,0.0025495432703665,0.0078175298062128,0.2689159974483245,3.7262093643884846,0.0002559091084705,0.0006299301131581,0.0028223663403871
qwen_base,qwen,base,writer,dominance,192,-0.004752226624763,-0.0078052986876837,-0.0018035522936163,-0.2252499399941511,-3.1211547237736856,0.002081115588251,,-0.0137461315884302
qwen_base,qwen,base,reader,dominance,192,-0.0035010589506022,-0.0062534143538806,-0.0008533399073997,-0.1926052792757507,-2.6688170360927463,0.0082667045013953,,-0.0108725581118273
qwen_base,qwen,base,self,dominance,192,-0.0055214814909683,-0.0088247048808892,-0.0022281102599229,-0.2396472377845631,-3.320649533891228,0.0010758427526557,,-0.0161132210286862
qwen_instruct,qwen,instruct,writer,valence,192,0.0192248355606168,0.013682287456383,0.0247795760264703,0.4945786432184842,6.853082707143162,9.68811686254196e-11,,-0.014601769687906
qwen_instruct,qwen,instruct,reader,valence,192,0.0224368232472108,0.0148409928501984,0.0297680797540194,0.4147629895811459,5.747124568429644,3.539492847824176e-08,1.2584863458930406e-07,-0.0323211591096884
qwen_instruct,qwen,instruct,self,valence,192,0.0175629633068641,0.0124540150801609,0.0224307210645296,0.4934712373481429,6.837738041286913,1.0558813868718109e-10,5.631367396649657e-10,-0.014738301635569
qwen_instruct,qwen,instruct,writer,arousal,192,0.0384941067210706,0.0322290242628934,0.0450928186171134,0.8160740963781461,11.307854381342478,5.010470002397537e-23,,0.0418388910513701
qwen_instruct,qwen,instruct,reader,arousal,192,0.0646948132165012,0.0558155091401359,0.0743613744154669,0.9532000678122688,13.207927577831592,1.0178720746931012e-28,1.628595319508962e-27,0.0742835437780581
qwen_instruct,qwen,instruct,self,arousal,192,0.0331887151220617,0.0270798792251729,0.0395013282513527,0.727595301737021,10.081856239655425,1.9481844834116608e-19,2.0780634489724382e-18,0.0363774619880182
qwen_instruct,qwen,instruct,writer,dominance,192,-0.0001212427072176,-0.0023728119444048,0.002037405280927,-0.0076955149530879,-0.1066321831132343,0.9151927005827404,,0.0032931622999729
qwen_instruct,qwen,instruct,reader,dominance,192,0.0020326875284311,-0.0006219456375059,0.0047345492084559,0.1039890798688905,1.4409149581220513,0.1512460521824517,,0.0103089381661388
qwen_instruct,qwen,instruct,self,dominance,192,-0.0023450483357835,-0.0051080247960889,0.0001159725337938,-0.1297522340168037,-1.7978996937013665,0.0737722579339644,,-0.0001117946599842
