model,family,alignment,axis,layer,relative_depth,within_reader_r2,within_self_r2,cross_r_to_s,cross_s_to_r,direct_mean,rsa,aligned_r2,alignment_gain
llama_base,llama,base,valence,6,0.4,-0.7115436731403921,-0.7065755002114871,-10.600102476818764,-1.936445398049731,0.0,0.949723074891747,0.1496791054689392,0.0538356275508647
llama_base,llama,base,arousal,6,0.4,-1.323235335585129,-1.3573014162831063,-5.072511459619884,-8.614403130290585,0.0,0.949723074891747,0.0208231086829974,0.1579409558114078
llama_base,llama,base,valence,7,0.4666666666666667,-0.6248383371115342,-0.5978026803338625,-6.930403609276292,-4.985646601080378,0.0,0.9234441782180862,0.1715698751523073,0.2260551895952107
llama_base,llama,base,arousal,7,0.4666666666666667,-1.489425954001923,-1.4072740097157284,-14.217770635758384,-20.86104439243758,0.0,0.9234441782180862,0.0175829778179646,0.0427099154189357
llama_base,llama,base,valence,8,0.5333333333333333,-0.5993041525506335,-0.7293227354376117,-14.627724201136472,-5.577058898904115,0.0,0.9008254410352152,0.1271642234321414,0.2038168202494529
llama_base,llama,base,arousal,8,0.5333333333333333,-1.400873067236128,-1.391350385957773,-12.45479598152529,-3.793985635258714,0.0,0.9008254410352152,-0.009035573283828,0.0882737916458207
llama_base,llama,base,valence,9,0.6,-0.7276675142551083,-0.6248092522625368,-11.9199307931112,-8.290531473583457,0.0,0.8916367346125741,0.1680405579389001,0.1180768301032899
llama_base,llama,base,arousal,9,0.6,-1.763472388316683,-1.5724770663365957,-11.666659670691178,-4.652744735295216,0.0,0.8916367346125741,0.0006534893657944,0.0916992054799844
llama_base,llama,base,valence,10,0.6666666666666666,-0.6100033750990073,-0.7178641222777515,-10.27528077676576,-6.203770734502272,0.0,0.8600143568000387,0.1951684758976147,0.1525404410967243
llama_base,llama,base,arousal,10,0.6666666666666666,-1.7052363158366637,-1.4959119426746406,-5.608667289256943,-6.320040237659767,0.0,0.8600143568000387,-0.0159728356315864,0.1106024050600698
llama_base,llama,base,valence,11,0.7333333333333333,-0.6594735011796635,-0.8945595071739694,-5.997532989134492,-4.528107106983964,0.0,0.8500808371733294,0.2401252892540379,0.2336149458205904
llama_base,llama,base,arousal,11,0.7333333333333333,-2.096021051022956,-1.9026328954682787,-12.470349776797288,-7.00763839740352,0.0,0.8500808371733294,0.0117237464182378,0.0510390524474262
llama_base,llama,base,valence,12,0.8,-0.6330204147090428,-1.042004941073338,-7.52300296736715,-4.007940614506607,0.0,0.8408394373857717,0.2285365265038669,0.2065120638044092
llama_base,llama,base,arousal,12,0.8,-1.8939685665421773,-2.09912996445909,-6.325987738018251,-16.019239813878677,0.0,0.8408394373857717,0.022023263429447,0.0703171794121164
llama_base,llama,base,valence,13,0.8666666666666667,-0.8262107202719313,-1.0790752487624389,-2.007147367353856,-1.9799380745265929,0.0,0.8557626670044003,0.2222866674926551,0.0506356092002183
llama_base,llama,base,arousal,13,0.8666666666666667,-2.149597917456406,-2.556077283740162,-8.810211310441007,-16.539104891990515,0.0,0.8557626670044003,0.0300520126048337,0.02546635830313
llama_base,llama,base,valence,14,0.9333333333333332,-0.9206657468641126,-1.17305140404235,-2.690418560634545,-3.924252063557155,0.0,0.8644159173130459,0.2220854178740844,0.0230453872359817
llama_base,llama,base,arousal,14,0.9333333333333332,-2.1088462952407907,-2.5911672242467247,-5.032850543471493,-6.697169619836897,0.0,0.8644159173130459,0.0414307712527077,0.0013566748903716
llama_base,llama,base,valence,15,1.0,-1.2400483337772408,-1.3414577112557655,-2.1159421980912407,-3.131682502078216,0.0,0.882659324776505,0.2281359679815876,0.0066295824157227
llama_base,llama,base,arousal,15,1.0,-2.359970035080777,-2.7830394677243024,-5.3278959834508495,-5.164662768973161,0.0,0.882659324776505,0.0012667860244084,0.004151558118145
llama_instruct,llama,instruct,valence,0,0.0,-1.551972932286766,-1.4140687828628675,-2.5553887580641925,-2.0756691919126333,0.0,0.9803071659413528,0.0550950676519822,0.0034496551808226
llama_instruct,llama,instruct,arousal,0,0.0,-1.270143343510417,-1.54842588755557,-6.380642290969283,-3.147362792173225,0.0,0.9803071659413528,0.0001931585761174,0.0097815192806183
llama_instruct,llama,instruct,valence,1,0.0666666666666666,-1.3407718241038902,-1.317156573000405,-6.71613728588384,-4.857054628567369,0.0,0.9756364289406598,0.0956440149520887,0.0012113682008617
llama_instruct,llama,instruct,arousal,1,0.0666666666666666,-1.6395955423806785,-1.9146782341793973,-5.295008376334858,-3.5234392829991776,0.0,0.9756364289406598,-0.0068516782927783,0.0207150197690451
llama_instruct,llama,instruct,valence,2,0.1333333333333333,-1.3019984979711832,-1.2322397967333898,-14.018932246101503,-7.924686955632227,0.0,0.9741985447379492,0.0878145611914884,0.3911560478903162
llama_instruct,llama,instruct,arousal,2,0.1333333333333333,-1.802255048456733,-1.848544472196378,-4.643219518842649,-3.155520440088667,0.0,0.9741985447379492,-0.0030737361748289,0.0163438122171351
llama_instruct,llama,instruct,valence,3,0.2,-1.0443795016442388,-0.8996608249413909,-5.145071796944025,-4.4119562772478425,0.0,0.9669687024433392,0.1149640545270392,0.0996732244965737
llama_instruct,llama,instruct,arousal,3,0.2,-1.847332610618804,-2.242795887411579,-7.619825739766933,-3.774293400060209,0.0,0.9669687024433392,0.0114755689299022,0.0194959420551552
llama_instruct,llama,instruct,valence,4,0.2666666666666666,-0.8806652245993909,-0.8226504137833324,-8.741846843324518,-3.805823050897021,0.0,0.954714860285069,0.2167823528870688,0.0833552797652212
llama_instruct,llama,instruct,arousal,4,0.2666666666666666,-1.4534841912607677,-1.7028437534430143,-8.066939594717791,-8.373869895268442,0.0,0.954714860285069,-0.0077036365632769,0.1157590776850083
llama_instruct,llama,instruct,valence,5,0.3333333333333333,-0.5760483199498538,-0.6009522612968932,-12.866104748579197,-11.12414422129994,0.0,0.936446258964169,0.2309912027752892,0.1410736881961144
llama_instruct,llama,instruct,arousal,5,0.3333333333333333,-1.570690134444484,-1.5314269851998543,-8.319194150245867,-13.423673325620818,0.0,0.936446258964169,-0.0041774554046358,0.0745563985699009
llama_instruct,llama,instruct,valence,6,0.4,-0.4875660014778042,-0.5233203101258654,-30.47733888152659,-3.878398915436673,0.0,0.9355125165704627,0.3083296500984969,0.1140204069069523
llama_instruct,llama,instruct,arousal,6,0.4,-1.166677052493477,-1.4529672477689997,-7.135230841887706,-9.869568493475231,0.0,0.9355125165704627,0.0799086091099617,0.1498773244273311
llama_instruct,llama,instruct,valence,7,0.4666666666666667,-0.5486585227329517,-0.3415059865776866,-11.701532073909542,-9.533400083334609,0.0,0.9108635519027096,0.2955822465430362,0.1039544997611335
llama_instruct,llama,instruct,arousal,7,0.4666666666666667,-1.1285486956685404,-1.2261184232004183,-24.183361391235312,-11.321829778573626,0.0,0.9108635519027096,0.0670235321531933,0.273469264096611
llama_instruct,llama,instruct,valence,8,0.5333333333333333,-0.5708433074686838,-0.420282433398214,-17.5550831565843,-3.096222246908516,0.0,0.908752174652553,0.3163849263181726,0.1463491805361353
