model,family,alignment,task,axis,n_triplets,step1_mean,step1_ci_low,step1_ci_high,step2_mean,step2_ci_low,step2_ci_high,p_step1,p_step2,p_iut,q_iut,monotonicity_rate,secondary_slope
llama_instruct,llama,instruct,writer,arousal,48,0.0016068572495745,-0.0132279116115511,0.0180730298877557,0.0280001703322225,0.0094202826628667,0.0457398318179126,0.4250490638944414,0.002361271063768,0.4250490638944414,,0.2291666666666666,0.0125407465986162
llama_instruct,llama,instruct,reader,arousal,48,0.0370462185997336,0.0186815611913554,0.0543470756286297,0.0543134118846556,0.0313445336857231,0.0774411415939535,0.0001495467208732,3.006784799721303e-05,0.0001495467208732,0.0047854950679447,0.5416666666666666,0.0506248783981217
llama_instruct,llama,instruct,self,arousal,48,-0.0092511197740065,-0.0244816376181266,0.0080492771128492,0.0303566145600509,0.0121314740168824,0.0472325317607803,0.855075753660306,0.0009390782362919,0.855075753660306,0.9997596565981772,0.1875,0.0074567451545639
llama_instruct,llama,instruct,writer,dominance,48,-0.0260942955896483,-0.0484628340417807,-0.002556119331951,0.0066909004961622,-0.0105520728865267,0.0234914067938144,0.9841301557947176,0.2191053112064674,0.9841301557947176,,0.0416666666666666,-0.0195278733499994
llama_instruct,llama,instruct,reader,dominance,48,-0.0251819916251572,-0.0480605296317774,-0.0016002500512381,0.0070219956720923,-0.0107076422306209,0.0224821667199069,0.981916979770332,0.203498965199875,0.981916979770332,,0.0208333333333333,-0.0221536693199662
llama_instruct,llama,instruct,self,dominance,48,-0.0251980883082081,-0.047286638247889,-0.0023249605265821,0.0047665109890445,-0.0118103210611975,0.0198521715080115,0.9832594933044854,0.2769669070393602,0.9832594933044854,,0.0416666666666666,-0.0226504625580957
olmo_base,olmo,base,writer,valence,48,-0.0153137341831737,-0.0286741768171614,-0.0011844899653791,-0.0015404058379431,-0.0143213465653063,0.010697399885573,0.9861563747001072,0.5930856497490687,0.9861563747001072,,0.1041666666666666,-0.0177407149982923
olmo_base,olmo,base,reader,valence,48,-0.0108404381449972,-0.0256802625342125,0.0050845880199137,-0.0005006523979908,-0.0156516850188618,0.0135271132929486,0.9120214742588754,0.5259652431502405,0.9120214742588754,0.9997596565981772,0.1041666666666666,-0.0166335281364001
olmo_base,olmo,base,self,valence,48,-0.0030311475584661,-0.009872372497627,0.0035597400720633,-0.0007872306862353,-0.0071320302096583,0.0056848639681988,0.8139744922557277,0.5871385643963898,0.8139744922557277,0.9997596565981772,0.1458333333333333,-0.0052131309714743
olmo_base,olmo,base,writer,arousal,48,-0.004535630609616,-0.0093905706772457,4.189248367653218e-05,7.974060509981691e-05,-0.0044578842433079,0.0049298123723176,0.9720019725313394,0.4862924311130693,0.9720019725313394,,0.125,-0.0028057353295927
olmo_base,olmo,base,reader,arousal,48,-0.0096024425123676,-0.0149822548304773,-0.0047450881861597,0.0022658053817768,-0.0028027656565188,0.0072889616895135,0.9997596565981772,0.1803908796943732,0.9997596565981772,0.9997596565981772,0.0833333333333333,-0.003764262101928
olmo_base,olmo,base,self,arousal,48,-0.0050650787861326,-0.0093201034042427,-0.0008296183099335,0.0006257119229312,-0.002995452028611,0.004204881204099,0.990954809725548,0.3644824618336033,0.990954809725548,0.9997596565981772,0.0833333333333333,-0.0025026015535877
olmo_base,olmo,base,writer,dominance,48,-0.0002133730216632,-0.0034383770307403,0.0029208129573257,-0.0013001102655833,-0.0044380999002609,0.0018388530193242,0.554463930146379,0.7832441352545509,0.7832441352545509,,0.1041666666666666,-0.00023624619083
olmo_base,olmo,base,reader,dominance,48,-0.0007767943819908,-0.0037448246191225,0.0020380905834251,-0.0015313303637212,-0.0048498075640541,0.0017162409736791,0.7017833121653521,0.8096827825635691,0.8096827825635691,,0.1041666666666666,0.0003483909203762
