model,task,task_label,dimension,dim_label,n,r_continuous,p_continuous,rho_continuous,r_greedy,p_greedy,mae,rmse,pred_mean,pred_std,human_mean,human_std
olmo_base,reader,Reader-Response Prediction (R),A,Arousal,1000,-0.02889974840427172,0.36127517677592036,-0.044946593108972956,-0.03582041743207938,0.25776583822240073,0.5617994938227899,0.6866185164366285,3.5601256590023347,0.32828284354990944,3.0504499999999997,0.3129969608478651
olmo_base,reader,Reader-Response Prediction (R),D,Dominance,1000,-0.014629180856440605,0.6440372602137517,-0.013924786116231082,-0.022307930107366116,0.4810317657738773,0.6284256752483979,0.7462271778303199,3.6166742170143333,0.37714776287752094,3.04292,0.28680284796354444
olmo_base,self,Self-Report (S),V,Valence,1000,0.060725481385452196,0.0548985388191773,0.04753881610468958,0.014002895863469828,0.658287831984909,1.0838503372993695,1.2130142063828313,4.036828139805696,0.43587969202778865,2.9781999999999997,0.42823937231412995
olmo_base,self,Self-Report (S),A,Arousal,1000,-0.04867102422598982,0.12402428268657166,-0.07955458486807042,-0.03659001113539394,0.24767392564136864,1.1763175915146074,1.2415054661214289,4.226767591514608,0.22946536127361467,3.0504499999999997,0.3129969608478651
olmo_base,self,Self-Report (S),D,Dominance,1000,-0.01195380575869947,0.7057625138834981,-0.013104156704400322,-0.022444925423434185,0.4783415738097944,1.3451940904344681,1.3994802060604816,4.387874287817418,0.256184193250581,3.04292,0.28680284796354444
olmo_instruct,writer,Writer-State Estimation (W),V,Valence,1000,0.38582575978583644,7.647850011578132e-37,0.41500467129745966,,,2.431725480658815,2.4530161268259016,5.408145480658815,0.22196282493766992,2.97642,0.33476914971364974
olmo_instruct,writer,Writer-State Estimation (W),A,Arousal,1000,0.07643608754332482,0.015621705541849527,0.05760034141315609,0.051626983951394215,0.1027564374487751,3.0406894510574913,3.0934710760812183,6.058029451057491,0.5044814718644842,3.0173400000000004,0.30456119976123025
olmo_instruct,writer,Writer-State Estimation (W),D,Dominance,1000,-0.0016095454739186747,0.9594572636083162,0.01881052240987963,0.028350097287936842,0.3704837905781972,2.6641111075379147,2.715426715205738,5.7557311075379145,0.4611279282691506,3.09162,0.25108280626120144
olmo_instruct,reader,Reader-Response Prediction (R),V,Valence,1000,0.37175571901965476,3.950002774384306e-34,0.3827797292085463,,,2.3382116927222505,2.3718807312082295,5.316411692722251,0.18244052703828043,2.9781999999999997,0.42823937231412995
olmo_instruct,reader,Reader-Response Prediction (R),A,Arousal,1000,0.08620995195809719,0.006374505596581242,0.06742445542749062,0.09294602944267359,0.00326199173705669,2.7483378365109976,2.7982070046304264,5.798787836510997,0.45049565632186855,3.0504499999999997,0.3129969608478651
olmo_instruct,reader,Reader-Response Prediction (R),D,Dominance,1000,0.10903222438303374,0.0005525606930210377,0.10139531556104464,0.03534230944949832,0.26417696152336745,2.3315651402502526,2.3837880107264637,5.374485140250252,0.4374372986251304,3.04292,0.28680284796354444
