layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp,fdr_q_joint_168_iso,fdr_q_joint_168_perp,fdr_sig_joint_168
6,resid,False,0.0077282261305689,-3.1259565620138976,0.0090561983097601,0.0084942423217445,0.9795406882971088,0.238095238095238,0.0071864861970034,0.0005530550594149,0.7764632557050319,0.238095238095238,0.007276748053774,0.0005814545292101,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
7,mlp,True,0.0072086779076161,-2.086889816602333,0.0078287393067819,0.0078252914435856,0.536953559196583,0.3809523809523809,0.0069649949379725,0.0004538250384412,0.0908367384218884,0.4285714285714285,0.0071729083045774,0.0003937790332425,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
7,attn,True,0.0078829858721341,-2.155542874815694,0.0079213680367996,0.0080937989676836,1.950590386364611,0.0476190476190476,0.0070047573775184,0.0004502372721381,1.9158246313376128,0.0952380952380952,0.0069537667608866,0.0004850230527617,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
7,resid,True,0.0070530888460368,-0.8771135108976341,0.0083540252542375,0.0077925361791837,-0.3044604476986603,0.6666666666666666,0.0071792570697419,0.0004143993896701,0.1637344698841089,0.3809523809523809,0.006965580024974,0.0005344557021182,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.9256198347107438,0.897196261682243,False
8,mlp,False,0.0064518717558649,-1.9832671806621367,0.0072841171188591,0.0069202954665785,-0.7290128066978991,0.7142857142857143,0.0068428094415431,0.0005362562661264,-1.1253142035540458,0.8571428571428571,0.0070595755683248,0.0005400303404512,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9863013698630136,False,0.9343065693430657,0.9876543209876543,False
8,attn,False,0.0076572895248795,-2.5784314114577165,0.0071692006373341,0.0084868014881655,2.157872620599059,0.0952380952380952,0.0067361972969071,0.0004268519926429,1.1082844609275029,0.1904761904761904,0.0070579770388739,0.0005407569149748,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
8,resid,False,0.0067739399169544,-1.380362920566991,0.0091817005259908,0.0082076512599563,-0.521071906505213,0.7619047619047619,0.0072067962133502,0.0008307035765925,-0.3035462955748146,0.6190476190476191,0.0069568840054957,0.0006026892477632,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8666666666666667,False,0.9343065693430657,0.9043478260869565,False
9,mlp,False,0.0063197384681459,-0.5618195478283554,0.0103964908602155,0.008204945631087,-0.5263986823352266,0.7619047619047619,0.0066417867933583,0.0006117954622981,-0.6786604197795129,0.7142857142857143,0.0066908456104985,0.000546823023027,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9090909090909092,False,0.9343065693430657,0.9343065693430657,False
9,attn,False,0.0065594241700635,0.1157303243933779,0.0076422970907201,0.0064200163349379,-0.2487817356336502,0.7142857142857143,0.0066818250994153,0.0004920012678586,-0.8044977624384815,0.8571428571428571,0.0069288234177028,0.0004591675264821,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9863013698630136,False,0.9343065693430657,0.9876543209876543,False
9,resid,False,0.00717441811851,-1.8913250143872649,0.0094750917443117,0.0092733270718856,1.0445789935105032,0.1428571428571428,0.0067276372748285,0.000427713793267,0.4258463186392053,0.4285714285714285,0.0069280886034025,0.0005784469756475,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
